CompanyName,logoname,BoothNumber,X,Y,Width,Height,ContactEmail
Port and Airport Research Institute - PARI,pari,A01,99,57,148,106,kita-t@p.mpat.go.jp
Rampart Products,rampart,A02,416,57,483,106,silvia@rampartproducts.com
Space Entertainment Laboratory Co. Ltd. - Hamadori,selab,A03A,98,150,147,199,takeru.jitsuishi@selab.jp
Tropical Marine Science Institute - TMSI,tmsi,A04A,189,150,239,199,leepy@nus.edu.sg
Marine Environment Sensing Network (MESN) - SJIML,mesn,A04b,241,150,290,199,mesn@nus.edu.sg
Sea and Land Technologies Pte Ltd (SALT),salt,A05,292,150,391,199,enquiry@sea-landtech.com
EvoLogics GmbH,EvoLogics,A06,434,150,483,251,press@evologics.de
Tsurumi-Seiki Co. Ltd. (TSK),tsurumiseiki,A03B,99,201,148,251,trade@tsk-jp.com
CIUOT (University of Tokyo),unitokyo,A03C,190,201,238,251,kouno-k@iis.u-tokyo.ac.jp ; yyokota@iis.u-tokyo.ac.jp
Tachyonish Holdings co. ltd.,tachyonish,A03D,241,201,290,251,kensuke-kirimoto@u-sonic.co.jp
Japan Agency for Marine-Earth Science and Technology (JAMSTEC),jamstec,A03E,292,201,341,251,tnakatani@jamstec.go.jp;kyom@jamstec.go.jp
IDEA Consultants Inc.,idea,A03F,343,201,392,251,takasima@ideacon.co.jp
Subnero,subnero,A07,99,304,148,371,info@subnero.com
Teledyne Marine,teledyne,A08,190,304,257,354,info@teledynemarine.com
Hangzhou Sea & Stream Technology Co. Ltd.,seastream,A09,258,304,325,354,N/A
Hydro-Tech Marine,hydrotech,A10,326,304,393,354,info@hydro-techmarine.com
INESC TEC,inesctec, A14,433,304,484,371, aplima@inesctec.pt
Sonardyne,sonardyne,A11,190,355,257,405,marketing@sonardyne.com
MacArtney Singapore Pte Ltd.,macartney,A12,258,355,324,405,info.sg@macartney.com
Qualisys,qualsys,A13,326,355,392,405,sales@qualisys.com
Kongsberg Discovery Pte Ltd,kongsberg,A15,99,478,148,545,Martin.gutowski@kd.kongsberg.com
NORBIT Subsea,norbit,A16,434,478,483,545,jt@norbit.com
Xylem Water Solutions Singapore Pte Ltd,xylem,A32,99,614,148,681,desmond.lee@xylem.com
Marine Thinking,marinethinking,A18,190,597,257,647,yuan.yao@marinethinking.com
Helm Operations,helm,A24,326,597,392,647,jonathan.cheng@helmoperations.com
TMA BlueTech,tmabluetech,A31,434,614,484,681,mclassen@tmabluetech.org
SEAMOR Marine Ltd.,seamormarine,A23,190,648,256,698,rli@seamor.com
Compusult Ltd.,compusult,A25,326,648,393,698,vernita@compusult.com
Zen4Blue,zen4blue,A27,99,750,148,800,info@zen4blue.org
Qingdao Daowan Technoloy Co. Ltd.,daowan,A28,433,751,484,800,alice@watertools.cn
MICROFINE MATERIALS TECHNOLOGIES PTE LTD,microfine,A29,99,802,148,851,albertlim@microfine-piezo.com
RIEGL,riegl,A13,434,802,484,851,office@riegl.com
Future OCEANS: Halifax 2024,HALIFAX,A34,139,903,188,953,TBA
Future OCEANS: Brest 2025,BREST,A35,190,903,240,953,TBA
Marine Technology Society,MTS,A36,240,903,291,953,TBA
IEEE Oceanic Engineering Society,OES,A37,291,903,342,953,TBA
Future OCEANS: Sanya 2025,SANYA,A38,343,903,393,953,TBA
SMARTSEA INTERNATIONAL (HK) CO. LIMITED,smartseatech,A39,394,903,444,953,joy.zhang@smartseatech.com
